nb_candidats_g;note_a_l_ecrit_g;taux_d_acces_6eme_3eme;part_presents_3eme_ordinaire_total;taux_de_reussite_g
117;9.5;92.0;98.0;78.0
153;10.9;95.0;97.0;93.0
75;10.9;90.0;100.0;83.0
48;13.8;98.0;98.0;100.0
227;15.5;96.0;99.0;100.0
133;14.4;87.0;99.0;99.0
138;15.3;96.0;99.0;100.0
32;9.6;79.0;100.0;66.0
105;8.3;95.0;92.0;66.0
125;11.4;91.0;96.0;94.0
134;9.0;90.0;98.0;83.0
141;13.7;89.0;99.0;99.0
175;14.1;92.0;100.0;100.0
125;13.4;95.0;98.0;100.0
147;11.2;91.0;99.0;96.0
57;13.1;86.0;100.0;100.0
183;9.7;95.0;98.0;91.0
171;9.5;91.0;98.0;83.0
129;10.3;93.0;99.0;90.0
197;9.6;86.0;97.0;78.0
123;8.1;90.0;95.0;83.0
77;10.4;92.0;92.0;94.0
159;8.9;89.0;99.0;79.0
149;11.8;95.0;100.0;97.0
168;10.5;95.0;99.0;90.0
